Variable,Missing_Count,Missing_Percent,Available_Count
Physicians,150,39.06,234
NursesMidwives,58,15.1,326
HospitalBeds,38,9.9,346
NCDMortality,32,8.33,352
Diabetes,16,4.17,368
HealthExpGDP,3,0.78,381
GovHealthExpShare,3,0.78,381
GovHealthExpPC,3,0.78,381
HealthExpPC,3,0.78,381
OOPExpenditure,3,0.78,381
UHCIndex,0,0.0,384
LifeExpectancy,0,0.0,384
GDPGrowth,0,0.0,384
OldAgeDependency,0,0.0,384
PM25,0,0.0,384
AdultObesity,0,0.0,384
GDPPerCapita,0,0.0,384
UrbanPopulation,0,0.0,384
Population,0,0.0,384
Unemployment,0,0.0,384
PopulationDensity,0,0.0,384
DPTImmunization,0,0.0,384
