Variable,Cluster,N_Outliers_IQR,Pct_Outliers
DPTImmunization,Preventive Health,61,15.89
PopulationDensity,Demographic Structure,51,13.28
GDPGrowth,Economic Context,37,9.64
HealthExpPC,Health Financing,34,8.92
GDPPerCapita,Economic Context,30,7.81
GovHealthExpPC,Health Financing,30,7.87
Population,Demographic Structure,22,5.73
PM25,Environmental / Cross-sector,14,3.65
HealthExpGDP,Health Financing,7,1.84
LifeExpectancy,Outcome,2,0.52
Unemployment,Economic Context,2,0.52
Physicians,Health System Capacity,1,0.43
HospitalBeds,Health System Capacity,1,0.29
NursesMidwives,Health System Capacity,1,0.31
Diabetes,Population Health Risk,0,0.0
AdultObesity,Population Health Risk,0,0.0
NCDMortality,Outcome,0,0.0
GovHealthExpShare,Health Financing,0,0.0
OOPExpenditure,Health Financing,0,0.0
OldAgeDependency,Demographic Structure,0,0.0
UHCIndex,Health System Capacity,0,0.0
UrbanPopulation,Demographic Structure,0,0.0
