,LifeExpectancy,NCDMortality,HealthExpPC,HealthExpGDP,Physicians,UHCIndex,OOPExpenditure,OldAgeDependency,GDPPerCapita,GDPGrowth,Diabetes,AdultObesity,PM25,HospitalBeds,NursesMidwives,UrbanPopulation,Unemployment,Population,PopulationDensity,GovHealthExpShare,GovHealthExpPC,DPTImmunization
LifeExpectancy,1.0,-0.676,0.793,-0.103,0.577,0.652,-0.657,-0.34,0.668,-0.037,0.401,0.281,0.43,0.034,0.515,0.69,-0.574,-0.422,0.321,0.501,0.756,0.307
NCDMortality,-0.676,1.0,-0.525,-0.195,-0.426,-0.285,0.364,0.014,-0.276,0.115,-0.215,-0.112,0.003,-0.148,-0.227,-0.505,0.106,0.26,-0.092,-0.236,-0.466,-0.062
HealthExpPC,0.793,-0.525,1.0,-0.256,0.597,0.701,-0.651,-0.609,0.815,0.005,0.602,0.495,0.701,-0.018,0.718,0.628,-0.654,-0.401,0.212,0.526,0.978,0.201
HealthExpGDP,-0.103,-0.195,-0.256,1.0,0.117,-0.214,0.344,0.518,-0.546,-0.149,-0.332,-0.108,-0.496,0.147,-0.383,-0.124,0.451,0.117,0.001,-0.445,-0.313,-0.152
Physicians,0.577,-0.426,0.597,0.117,1.0,0.577,-0.585,-0.247,0.463,-0.031,0.352,0.381,0.354,0.291,0.71,0.522,-0.24,-0.3,-0.254,0.404,0.598,0.157
UHCIndex,0.652,-0.285,0.701,-0.214,0.577,1.0,-0.574,-0.512,0.642,0.018,0.503,0.585,0.686,0.042,0.705,0.528,-0.539,-0.133,0.131,0.512,0.707,0.44
OOPExpenditure,-0.657,0.364,-0.651,0.344,-0.585,-0.574,1.0,0.433,-0.603,-0.026,-0.416,-0.301,-0.437,-0.132,-0.672,-0.628,0.462,0.476,-0.031,-0.921,-0.702,-0.162
OldAgeDependency,-0.34,0.014,-0.609,0.518,-0.247,-0.512,0.433,1.0,-0.718,-0.111,-0.621,-0.422,-0.756,0.195,-0.616,-0.412,0.625,0.469,-0.125,-0.429,-0.616,-0.229
GDPPerCapita,0.668,-0.276,0.815,-0.546,0.463,0.642,-0.603,-0.718,1.0,0.118,0.57,0.39,0.82,-0.067,0.676,0.604,-0.712,-0.446,0.119,0.532,0.816,0.212
GDPGrowth,-0.037,0.115,0.005,-0.149,-0.031,0.018,-0.026,-0.111,0.118,1.0,-0.027,-0.007,0.104,-0.048,0.021,-0.004,-0.092,0.011,-0.025,0.051,0.007,0.066
Diabetes,0.401,-0.215,0.602,-0.332,0.352,0.503,-0.416,-0.621,0.57,-0.027,1.0,0.718,0.532,0.009,0.655,0.43,-0.395,-0.362,0.01,0.367,0.599,0.018
AdultObesity,0.281,-0.112,0.495,-0.108,0.381,0.585,-0.301,-0.422,0.39,-0.007,0.718,1.0,0.558,0.108,0.573,0.402,-0.314,-0.083,0.137,0.282,0.513,-0.042
PM25,0.43,0.003,0.701,-0.496,0.354,0.686,-0.437,-0.756,0.82,0.104,0.532,0.558,1.0,-0.151,0.62,0.457,-0.736,-0.231,0.155,0.396,0.717,0.146
HospitalBeds,0.034,-0.148,-0.018,0.147,0.291,0.042,-0.132,0.195,-0.067,-0.048,0.009,0.108,-0.151,1.0,0.217,0.39,0.241,-0.145,0.094,0.184,-0.041,-0.16
NursesMidwives,0.515,-0.227,0.718,-0.383,0.71,0.705,-0.672,-0.616,0.676,0.021,0.655,0.573,0.62,0.217,1.0,0.611,-0.363,-0.441,-0.131,0.639,0.761,0.335
UrbanPopulation,0.69,-0.505,0.628,-0.124,0.522,0.528,-0.628,-0.412,0.604,-0.004,0.43,0.402,0.457,0.39,0.611,1.0,-0.407,-0.667,0.399,0.556,0.617,0.018
Unemployment,-0.574,0.106,-0.654,0.451,-0.24,-0.539,0.462,0.625,-0.712,-0.092,-0.395,-0.314,-0.736,0.241,-0.363,-0.407,1.0,0.272,-0.363,-0.378,-0.648,-0.219
Population,-0.422,0.26,-0.401,0.117,-0.3,-0.133,0.476,0.469,-0.446,0.011,-0.362,-0.083,-0.231,-0.145,-0.441,-0.667,0.272,1.0,-0.264,-0.41,-0.394,0.054
PopulationDensity,0.321,-0.092,0.212,0.001,-0.254,0.131,-0.031,-0.125,0.119,-0.025,0.01,0.137,0.155,0.094,-0.131,0.399,-0.363,-0.264,1.0,-0.019,0.145,0.013
GovHealthExpShare,0.501,-0.236,0.526,-0.445,0.404,0.512,-0.921,-0.429,0.532,0.051,0.367,0.282,0.396,0.184,0.639,0.556,-0.378,-0.41,-0.019,1.0,0.623,0.18
GovHealthExpPC,0.756,-0.466,0.978,-0.313,0.598,0.707,-0.702,-0.616,0.816,0.007,0.599,0.513,0.717,-0.041,0.761,0.617,-0.648,-0.394,0.145,0.623,1.0,0.22
DPTImmunization,0.307,-0.062,0.201,-0.152,0.157,0.44,-0.162,-0.229,0.212,0.066,0.018,-0.042,0.146,-0.16,0.335,0.018,-0.219,0.054,0.013,0.18,0.22,1.0
