,LifeExpectancy,NCDMortality,HealthExpPC,HealthExpGDP,Physicians,UHCIndex,OOPExpenditure,OldAgeDependency,GDPPerCapita,GDPGrowth,Diabetes,AdultObesity,PM25,HospitalBeds,NursesMidwives,UrbanPopulation,Unemployment,Population,PopulationDensity,GovHealthExpShare,GovHealthExpPC,DPTImmunization
LifeExpectancy,1.0,-0.672,0.874,-0.157,0.569,0.644,-0.654,-0.422,0.782,-0.11,0.4,0.282,0.471,0.102,0.53,0.696,-0.62,-0.531,0.421,0.493,0.845,0.239
NCDMortality,-0.672,1.0,-0.559,-0.214,-0.465,-0.302,0.318,0.054,-0.419,0.246,-0.219,-0.147,-0.072,-0.186,-0.229,-0.461,0.124,0.13,-0.262,-0.186,-0.511,0.002
HealthExpPC,0.874,-0.559,1.0,-0.237,0.618,0.682,-0.738,-0.593,0.91,-0.062,0.579,0.444,0.631,0.246,0.692,0.768,-0.655,-0.585,0.308,0.606,0.977,0.164
HealthExpGDP,-0.157,-0.214,-0.237,1.0,0.08,-0.232,0.415,0.604,-0.492,-0.256,-0.372,-0.141,-0.494,0.094,-0.416,-0.214,0.532,0.387,0.068,-0.478,-0.318,-0.122
Physicians,0.569,-0.465,0.618,0.08,1.0,0.56,-0.565,-0.306,0.504,-0.068,0.355,0.357,0.312,0.295,0.697,0.524,-0.206,-0.234,0.04,0.375,0.602,0.093
UHCIndex,0.644,-0.302,0.682,-0.232,0.56,1.0,-0.591,-0.584,0.684,0.016,0.489,0.554,0.689,0.131,0.728,0.565,-0.547,-0.32,0.208,0.486,0.699,0.398
OOPExpenditure,-0.654,0.318,-0.738,0.415,-0.565,-0.591,1.0,0.531,-0.761,0.031,-0.449,-0.317,-0.483,-0.152,-0.728,-0.54,0.531,0.482,0.003,-0.917,-0.836,-0.166
OldAgeDependency,-0.422,0.054,-0.593,0.604,-0.306,-0.584,0.531,1.0,-0.694,-0.12,-0.673,-0.502,-0.819,0.145,-0.664,-0.494,0.691,0.623,-0.089,-0.457,-0.617,-0.155
GDPPerCapita,0.782,-0.419,0.91,-0.492,0.504,0.684,-0.761,-0.694,1.0,0.059,0.584,0.411,0.698,0.305,0.729,0.788,-0.704,-0.656,0.218,0.673,0.921,0.143
GDPGrowth,-0.11,0.246,-0.062,-0.256,-0.068,0.016,0.031,-0.12,0.059,1.0,-0.062,-0.036,0.118,-0.019,-0.021,-0.066,-0.133,-0.017,-0.021,0.016,-0.04,0.011
Diabetes,0.4,-0.219,0.579,-0.372,0.355,0.489,-0.449,-0.673,0.584,-0.062,1.0,0.735,0.591,-0.034,0.657,0.498,-0.414,-0.386,0.092,0.365,0.58,-0.033
AdultObesity,0.282,-0.147,0.444,-0.141,0.357,0.554,-0.317,-0.502,0.411,-0.036,0.735,1.0,0.63,0.067,0.554,0.496,-0.298,-0.192,0.396,0.262,0.437,-0.065
PM25,0.471,-0.072,0.631,-0.494,0.312,0.689,-0.483,-0.819,0.698,0.118,0.591,0.63,1.0,-0.005,0.578,0.5,-0.768,-0.417,0.281,0.379,0.616,0.151
HospitalBeds,0.102,-0.186,0.246,0.094,0.295,0.131,-0.152,0.145,0.305,-0.019,-0.034,0.067,-0.005,1.0,0.23,0.43,0.109,-0.195,-0.012,0.204,0.248,-0.146
NursesMidwives,0.53,-0.229,0.692,-0.416,0.697,0.728,-0.728,-0.664,0.729,-0.021,0.657,0.554,0.578,0.23,1.0,0.643,-0.379,-0.531,-0.082,0.673,0.755,0.266
UrbanPopulation,0.696,-0.461,0.768,-0.214,0.524,0.565,-0.54,-0.494,0.788,-0.066,0.498,0.496,0.5,0.43,0.643,1.0,-0.447,-0.721,0.411,0.478,0.748,0.076
Unemployment,-0.62,0.124,-0.655,0.532,-0.206,-0.547,0.531,0.691,-0.704,-0.133,-0.414,-0.298,-0.768,0.109,-0.379,-0.447,1.0,0.543,-0.408,-0.425,-0.648,-0.228
Population,-0.531,0.13,-0.585,0.387,-0.234,-0.32,0.482,0.623,-0.656,-0.017,-0.386,-0.192,-0.417,-0.195,-0.531,-0.721,0.543,1.0,-0.26,-0.444,-0.594,-0.109
PopulationDensity,0.421,-0.262,0.308,0.068,0.04,0.208,0.003,-0.089,0.218,-0.021,0.092,0.396,0.281,-0.012,-0.082,0.411,-0.408,-0.26,1.0,-0.11,0.221,-0.049
GovHealthExpShare,0.493,-0.186,0.606,-0.478,0.375,0.486,-0.917,-0.457,0.673,0.016,0.365,0.262,0.379,0.204,0.673,0.478,-0.425,-0.444,-0.11,1.0,0.745,0.16
GovHealthExpPC,0.845,-0.511,0.977,-0.318,0.602,0.699,-0.836,-0.617,0.921,-0.04,0.58,0.437,0.616,0.248,0.755,0.748,-0.648,-0.594,0.221,0.745,1.0,0.188
DPTImmunization,0.239,0.002,0.164,-0.122,0.093,0.398,-0.166,-0.155,0.143,0.011,-0.033,-0.065,0.151,-0.146,0.266,0.076,-0.228,-0.109,-0.049,0.16,0.188,1.0
