Variable,Final_VIF
NursesMidwives,8.653327805513268
GDPPerCapita,8.305928918278129
PM25,7.880162614548527
GovHealthExpPC,7.539829338255573
OldAgeDependency,5.322410561788395
UHCIndex,5.311255546595708
Unemployment,4.738129306824381
UrbanPopulation,4.406966484505235
Diabetes,4.226524425488329
AdultObesity,3.8878587925240056
OOPExpenditure,3.285995219064861
PopulationDensity,2.5980435157524475
HealthExpGDP,2.4884159069103875
DPTImmunization,2.2034494378340526
HospitalBeds,2.001151978431588
GDPGrowth,1.0763358976967743
