Feature,Abs_Pearson,Abs_Spearman,RF_Importance,RFE_Rank,Permutation_Importance,Pearson_Rank,Spearman_Rank,RF_Rank,Permutation_Rank,Consensus_Rank
GovHealthExpPC,0.7614296854609279,0.85526856467964,0.6260910806564054,1,3.118480955960906,1.0,1.0,1.0,1.0,1.0
GDPPerCapita,0.680890916461498,0.7783820790664864,0.026976940506594188,1,0.08398689485516586,2.0,2.0,6.0,10.0,4.2
Diabetes,0.4885980989122929,0.5496923696250112,0.0634768178254638,1,0.5475942085726139,8.0,9.0,3.0,2.0,4.6
Unemployment,0.6442624985874804,0.6756573980463771,0.011272750992764941,1,0.08658453953198961,3.0,3.0,10.0,8.0,5.0
Physicians,0.5064983460807272,0.4871979972323174,0.041285968702364284,1,0.23265066379521088,7.0,11.0,5.0,5.0,5.8
UrbanPopulation,0.6396846613065127,0.6357400000109313,0.015267665377625524,3,0.08515072587298163,4.0,4.0,9.0,9.0,5.8
OldAgeDependency,0.441090868859462,0.5908409004489587,0.015449874923385402,1,0.17207277269711269,11.0,6.0,8.0,6.0,6.4
PM25,0.46223159817264553,0.5571277139587163,0.017418928376759193,1,0.10701033192976853,10.0,8.0,7.0,7.0,6.6
UHCIndex,0.6330450392986499,0.605189519349131,0.009878249912848852,1,0.07027165865071426,5.0,5.0,11.0,11.0,6.6
PopulationDensity,0.26768518876259,0.397386716144075,0.053859046534098114,1,0.5017569282431162,14.0,12.0,4.0,4.0,7.0
HospitalBeds,0.008389473438342546,0.020062002502779272,0.07742383578797403,4,0.5389477282198016,17.0,17.0,2.0,3.0,8.6
OOPExpenditure,0.5935371138945204,0.5595952968975033,0.007822776151571445,5,0.03307933215965651,6.0,7.0,14.0,16.0,9.6
AdultObesity,0.27981803941512395,0.30780856440733895,0.008047047064919611,1,0.05309560257027267,13.0,13.0,13.0,12.0,10.4
NursesMidwives,0.4833221677758456,0.5003987282485378,0.003997721189383931,1,0.02235179531319701,9.0,10.0,17.0,17.0,10.8
DPTImmunization,0.37258484937170133,0.20859581226672852,0.006260100578723145,2,0.04618908131909975,12.0,15.0,16.0,14.0,11.8
HealthExpGDP,0.17913826267458868,0.24074708633011663,0.008167714382136463,6,0.05120123303116512,15.0,14.0,12.0,13.0,12.0
GDPGrowth,0.050568884667304775,0.12431071497603101,0.007303481036981602,7,0.034603141601300916,16.0,16.0,15.0,15.0,13.8
