Feature,Abs_Pearson,Abs_Spearman,RF_Importance,RFE_Rank,Permutation_Importance,Pearson_Rank,Spearman_Rank,RF_Rank,Permutation_Rank,Consensus_Rank
GovHealthExpPC,0.5248115073183263,0.5384580196458496,0.08718321661152816,1,0.8185759361641205,1.0,1.0,3.0,3.0,1.8
Diabetes,0.3598660405768156,0.4287560506396123,0.3783890927455433,1,3.3582720100693173,4.0,3.0,1.0,1.0,2.0
UrbanPopulation,0.4106416395904634,0.4027991793928573,0.0762786484132215,1,0.7331393640593369,2.0,5.0,4.0,4.0,3.2
HealthExpGDP,0.18001460288483284,0.17461388991568824,0.11800723714287296,1,1.4580468342093607,10.0,14.0,2.0,2.0,5.8
Physicians,0.38418752342109697,0.42950670072431885,0.0266556076504953,6,0.3449027009346429,3.0,2.0,10.0,8.0,5.8
UHCIndex,0.33620304088029196,0.37185237709401975,0.026590048648578318,1,0.23290131811380302,5.0,6.0,11.0,11.0,6.8
AdultObesity,0.2893984587032033,0.3157080927409113,0.032109503483425714,2,0.3414978424907269,7.0,7.0,9.0,9.0,6.8
GDPPerCapita,0.326205232808272,0.4203436313889989,0.02412934488268372,1,0.14156783780455412,6.0,4.0,12.0,12.0,7.0
PM25,0.07041482845645136,0.21727935054547118,0.056995183676905856,1,0.70515019316087,15.0,11.0,6.0,5.0,7.6
HospitalBeds,0.1307220996298264,0.1707639979913537,0.057447992397832916,4,0.46155040070277914,12.0,15.0,5.0,6.0,8.4
Unemployment,0.1296950759279068,0.14574299815663974,0.03737136311895484,1,0.3786580504009002,13.0,16.0,7.0,7.0,8.8
PopulationDensity,0.003679466429141115,0.2840921282913561,0.03236923249903546,1,0.2876470031026559,17.0,8.0,8.0,10.0,8.8
NursesMidwives,0.26216796678319637,0.26670529496762835,0.007380452489170654,1,0.07948198130884425,8.0,9.0,16.0,16.0,10.0
OOPExpenditure,0.2234118364219419,0.18546420641570477,0.011279200228058717,1,0.0851576493496379,9.0,13.0,15.0,15.0,10.6
GDPGrowth,0.1625542475881756,0.2132606281002647,0.012722746843106047,5,0.10737943337657625,11.0,12.0,14.0,14.0,11.2
OldAgeDependency,0.07757299539292706,0.22983229517040388,0.012818776321422542,7,0.11449665104371239,14.0,10.0,13.0,13.0,11.4
DPTImmunization,0.03883800314359382,0.08725349817552515,0.002272352847164148,3,0.016521075111056584,16.0,17.0,17.0,17.0,14.0
