Target,Feature,Final_Set_VIF
LifeExpectancy,GDPPerCapita,5.37
LifeExpectancy,GovHealthExpPC,4.65
LifeExpectancy,Unemployment,3.4
LifeExpectancy,OldAgeDependency,3.18
LifeExpectancy,OOPExpenditure,3.15
LifeExpectancy,Physicians,2.91
LifeExpectancy,HealthExpGDP,2.76
LifeExpectancy,UHCIndex,2.53
LifeExpectancy,Diabetes,2.52
NCDMortality,GovHealthExpPC,3.53
NCDMortality,Diabetes,3.4
NCDMortality,UHCIndex,2.99
NCDMortality,OOPExpenditure,2.98
NCDMortality,OldAgeDependency,2.65
NCDMortality,AdultObesity,2.46
NCDMortality,Physicians,2.43
NCDMortality,HealthExpGDP,1.96
NCDMortality,UrbanPopulation,1.88
