CountryCode,Country,Annual_Slope,Difference_vs_Saudi,P_Value_Difference
MAR,Morocco,0.3628226086956404,0.10452695652173824,0.0005444980705880138
IRQ,Iraq,0.3515313043478105,0.09323565217390835,0.013911560878018876
QAT,Qatar,0.34038999999998143,0.08209434782607924,0.047943441608785366
IRN,Iran,0.274835217391294,0.01653956521739187,0.7258420790514089
BHR,Bahrain,0.27124521739129154,0.01294956521738936,0.7596070378520459
SAU,Saudi Arabia,0.25829565217390216,0.0,
OMN,Oman,0.25196999999998876,-0.006325652173913388,0.9013556742188171
TUR,Türkiye,0.24248173913042922,-0.015813913043472943,0.6388817971539137
KWT,Kuwait,0.23136082716520448,-0.02693482500869768,0.5465423594307292
JOR,Jordan,0.21710826086955157,-0.04118739130435059,0.25661852275686037
DZA,Algeria,0.20561434782607796,-0.052681304347824184,0.15255051116476576
EGY,Egypt,0.1555004347825962,-0.10279521739130595,0.0017675754653907097
ARE,United Arab Emirates,0.14774130434781202,-0.11055434782609015,0.07994987702746369
LBN,Lebanon,0.12394869565216413,-0.13434695652173803,0.015697618773425133
TUN,Tunisia,0.11595608695651322,-0.14233956521738894,0.00014114944110658946
LBY,Libya,0.06837260869563588,-0.18992304347826627,0.00022391973504230938
