Dropped_Country,N,Coefficient,p,Significant
ARE,357,1.684034457508829,0.005184641464537691,True
BHR,357,1.7148982834514896,0.0022146708147329276,True
DZA,357,1.5763349973516327,0.00557297598182782,True
EGY,357,1.828041913204137,0.0008765119158204403,True
IRN,357,1.6040827912711568,0.006305989529066489,True
IRQ,360,1.3128981971783156,0.04940242525436857,True
JOR,357,1.6214655071357862,0.00419951083106681,True
KWT,357,1.6245007861584373,0.004396833189669842,True
LBN,357,1.6138961857201188,0.006887534115574853,True
LBY,357,1.1084952689587615,0.054556387682725145,False
MAR,357,1.3251450936766072,0.01069531222149965,True
OMN,357,1.6465539431084255,0.004386910886574383,True
QAT,357,1.6791249737323954,0.0026671763377694173,True
SAU,357,1.6410416049964347,0.004927498408048134,True
TUN,357,1.3822206078797377,0.020625201502007907,True
TUR,357,1.676156956794641,0.004303556197519151,True
