Target,Model,N_Folds,CV_RMSE_Mean,CV_RMSE_SD,CV_MAE_Mean,CV_R2_Mean
LifeExpectancy,Extra Trees,4,2.2947678960731617,0.48851290203172565,1.8135901464919733,0.49541063234102484
LifeExpectancy,Random Forest,4,2.2992165013893766,0.4359046769942679,1.7878197073355526,0.5392289330329023
LifeExpectancy,Gradient Boosting,4,2.3285990066600486,0.38804895282738366,1.8105183605259887,0.527926599460697
LifeExpectancy,Histogram Gradient Boosting,4,2.439227962148932,0.28443966416597205,1.8956336173721142,0.46871634929721684
LifeExpectancy,Elastic Net,4,2.658024716501642,0.5414425100147465,2.1661722479703496,0.35550810867676125
LifeExpectancy,Ridge Regression,4,2.7368607486819965,0.5344683678933266,2.22542699781901,0.3339101876026321
LifeExpectancy,Linear Regression,4,2.7482796478228515,0.5339418178689614,2.234657908094876,0.3303821415645148
LifeExpectancy,Dummy Mean,4,3.939172579493384,0.980383426040551,3.245943854756221,-0.22016983840513626
NCDMortality,Extra Trees,4,5.10126890228919,1.3340276438124876,4.308474843943675,-0.028908730548522943
NCDMortality,Random Forest,4,5.421249903082586,1.2737959914834858,4.587352831779963,-0.18363363206687763
NCDMortality,Elastic Net,4,5.639574128939852,1.52263540284178,4.7218773754785355,-0.2963235598575502
NCDMortality,Dummy Mean,4,5.647707597012122,1.2243490834291109,4.861423898071625,-0.2816611925128068
NCDMortality,Histogram Gradient Boosting,4,5.706219321188217,1.1251075951570677,4.779451690611134,-0.3527287810957399
NCDMortality,Ridge Regression,4,5.771614673547457,1.4511808246811737,4.835106372692063,-0.38143576154821957
NCDMortality,Linear Regression,4,5.801189634340473,1.4455791597882994,4.862468312551451,-0.40007353472253515
NCDMortality,Gradient Boosting,4,6.159115942179384,0.9909029233167977,5.123651864703647,-0.630615135311931
