Target,Repeat,Fold,Test_Countries,Test_RMSE,Test_MAE,Test_R2,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,0,0,"JOR, MAR, OMN, TUR",1.479433514024038,1.2107226797360446,0.7478695170489129,51.11119108316442
LifeExpectancy,0,1,"ARE, EGY, KWT, LBY",2.645799165560604,2.2764790062913627,0.7175175557053803,46.89979611150721
LifeExpectancy,0,2,"DZA, IRN, IRQ, QAT",2.698380271390319,1.8686464402803302,0.6623709661929235,44.38755402001629
LifeExpectancy,0,3,"BHR, LBN, SAU, TUN",2.3554586333176855,1.8985124596601555,-0.14611550958311725,18.659543366750437
NCDMortality,0,0,"JOR, MAR, OMN, TUR",4.906537582791104,4.084517572415613,-0.40576217206067056,5.677937718404789
NCDMortality,0,1,"ARE, EGY, KWT, LBY",6.891714515181776,5.942120757802363,0.19578843105782773,10.984198874141025
NCDMortality,0,2,"DZA, IRN, IRQ, QAT",5.443971088821049,4.623537690976995,-0.20580467108689482,-9.220216052965663
NCDMortality,0,3,"BHR, LBN, SAU, TUN",3.1628524223628305,2.58372335457973,0.3001434898956459,32.16269332072785
LifeExpectancy,1,0,"DZA, KWT, TUN, TUR",1.3531272216833012,1.0827739073954088,0.668223186690234,44.63769415555601
LifeExpectancy,1,1,"LBN, MAR, OMN, SAU",2.2146385231571184,1.8702413753772644,0.5035612523556068,30.19060968807792
LifeExpectancy,1,2,"BHR, IRQ, LBY, QAT",3.4438707565217874,2.836445869240329,0.5604599422751371,34.41993659461863
LifeExpectancy,1,3,"ARE, EGY, IRN, JOR",2.2362107272482374,1.8561333593646399,0.7515899879791945,50.296459505841504
NCDMortality,1,0,"DZA, KWT, TUN, TUR",3.272914911912495,2.8482447533073647,-0.5638767368086104,29.253275045412842
NCDMortality,1,1,"LBN, MAR, OMN, SAU",4.690537236177123,3.8859138822465464,0.15064182482836086,9.489043300526005
NCDMortality,1,2,"BHR, IRQ, LBY, QAT",6.43413591071328,5.332855718171046,-1.0031494622977268,-11.293297683811927
NCDMortality,1,3,"ARE, EGY, IRN, JOR",6.340420693241703,5.448900992934321,0.2803090011111634,15.570427158824005
