Target,CountryCode,N_Predictions,RMSE,MAE,Mean_Bias
LifeExpectancy,IRQ,48,4.9212789051567665,4.106080949909288,-4.106080949909288
LifeExpectancy,LBY,48,3.344892014079695,3.1663584501433006,-3.1663584501433006
LifeExpectancy,ARE,48,3.3318202358501687,3.0765451993847477,3.001003961957886
LifeExpectancy,LBN,48,3.1373329335938847,2.94032800511765,2.9358841053986215
LifeExpectancy,BHR,48,2.7044262966184918,2.2789844834280113,2.197434589878045
LifeExpectancy,SAU,48,2.1845533146397385,1.9057360399697505,-1.8544112444210061
LifeExpectancy,EGY,48,2.1155760182245955,1.909529595400907,-1.905636630905225
LifeExpectancy,JOR,48,1.8831389219670165,1.5603989358043069,0.3376409116317802
LifeExpectancy,QAT,48,1.6346585830744185,1.4482869063254036,-0.027418342931404993
LifeExpectancy,KWT,48,1.566881253777261,1.249962610422232,-0.051629335172574876
LifeExpectancy,TUR,48,1.5107946131123797,1.3606154589333874,0.08374591512804692
LifeExpectancy,OMN,48,1.4602811989529492,1.236771337560234,0.1660905883798227
LifeExpectancy,IRN,48,1.281463027310114,1.1149133249978156,0.9340723808130811
LifeExpectancy,MAR,48,1.221665934029424,1.0011225487290976,0.21839708648445524
LifeExpectancy,DZA,48,1.1547497805991773,0.8270790023711546,0.2895980915191636
LifeExpectancy,TUN,48,0.8719564979385035,0.6171973461937835,0.36115195297339664
NCDMortality,ARE,44,9.920773275016648,9.7180403324553,-9.7180403324553
NCDMortality,QAT,44,8.453596288387192,7.031688864421273,7.031688864421273
NCDMortality,OMN,44,7.6575461557688245,7.204072758491862,7.200976799568631
NCDMortality,EGY,44,7.390620059998035,7.290017693591651,7.290017693591651
NCDMortality,BHR,44,5.248110869879168,4.13432124052387,2.0539883551391647
NCDMortality,DZA,44,5.108557998451898,5.081293513511156,-5.081293513511156
NCDMortality,JOR,44,4.347963214031282,3.8054538215571667,0.7154263403175253
NCDMortality,IRQ,44,4.278703415410779,3.599813206402713,3.5695365772836722
NCDMortality,LBY,44,4.2522852327605465,3.7564083218762305,3.6056065097122496
NCDMortality,LBN,44,3.707340121201002,3.5129528891211077,-3.5129528891211077
NCDMortality,KWT,44,3.4836366019962224,3.3444382014542366,-3.3444382014542366
NCDMortality,MAR,44,3.453264250807373,3.2474557738093397,3.2474557738093397
NCDMortality,IRN,44,3.1845494795452676,2.8571851809670776,-2.8571619901155447
NCDMortality,SAU,44,2.103668618977826,1.7962884619796478,0.7091993687314947
NCDMortality,TUR,44,1.8533698003338654,1.534433997623362,0.34211802096034893
NCDMortality,TUN,44,1.7775405057337599,1.585765187081963,-1.585765187081963
