,N,Mean,SD,Minimum,Q1,Median,Q3,Maximum,Missing_Percent
LifeExpectancy,384.0,74.9756,3.9823,64.029,72.4315,75.068,77.7402,83.1878,0.0
NCDMortality,352.0,18.6304,5.6088,7.6,14.5,17.75,22.7,30.3,8.3333
HealthExpPC,381.0,585.0871,541.0217,26.9828,196.6693,380.2784,740.387,2422.6445,0.7812
HealthExpGDP,381.0,4.7396,1.7729,1.6,3.4661,4.6096,5.6279,10.8295,0.7812
Physicians,234.0,1.7065,0.714,0.483,1.0152,1.782,2.2032,4.048,39.0625
UHCIndex,384.0,72.7839,6.4019,55.0,68.0,73.0,78.0,84.0,0.0
OOPExpenditure,381.0,31.215,16.2612,5.2075,17.8078,29.1214,41.9152,76.1907,0.7812
OldAgeDependency,384.0,6.1184,3.2089,1.0117,3.4251,5.9981,8.2967,15.4814,0.0
GDPPerCapita,384.0,16617.0475,17919.0468,1957.1414,4186.7845,7637.3725,23413.4656,83533.4964,0.0
GDPGrowth,384.0,3.7865,8.1831,-50.3385,1.6968,3.7489,5.9844,86.8267,0.0
Diabetes,368.0,19.0308,4.9827,8.35,15.16,18.665,23.32,28.0,4.1667
AdultObesity,384.0,28.7385,7.4995,11.38,23.1225,29.36,34.465,43.51,0.0
PM25,384.0,43.2893,23.2651,14.1342,24.8439,41.6521,56.6986,124.6574,0.0
HospitalBeds,346.0,1.948,0.7565,0.7,1.3825,1.81,2.43,4.12,9.8958
NursesMidwives,326.0,3.2736,1.7965,0.312,1.9281,2.648,4.4994,8.489,15.1042
UrbanPopulation,384.0,78.0084,15.3584,42.4486,68.0598,80.0708,88.157,100.0,0.0
Unemployment,384.0,8.7923,5.8521,0.1,2.9688,9.2005,12.5025,29.77,0.0
Population,384.0,26559642.8672,29900959.8881,637582.0,4516978.75,10394056.0,36916142.5,114535772.0,0.0
PopulationDensity,384.0,193.3363,379.2875,3.015,35.4296,77.4298,120.4057,1971.3238,0.0
GovHealthExpShare,381.0,60.3538,17.5928,23.155,45.5106,64.4751,73.7859,90.2183,0.7812
GovHealthExpPC,381.0,403.1013,432.99,12.212,106.2333,214.0936,552.964,2128.9333,0.7812
DPTImmunization,384.0,93.3828,8.3486,53.0,93.0,97.0,98.0,99.0,0.0
