Variable,Final_VIF
NursesMidwives,8.653327805558318
GDPPerCapita,8.305928917862184
PM25,7.880162613176357
GovHealthExpPC,7.539829338189971
OldAgeDependency,5.322410561722141
UHCIndex,5.311255546554148
Unemployment,4.738129306852905
UrbanPopulation,4.4069664843118055
Diabetes,4.226524425443972
AdultObesity,3.88785879235737
OOPExpenditure,3.2859952189637625
PopulationDensity,2.5980435156485915
HealthExpGDP,2.488415906816216
DPTImmunization,2.2034494378142475
HospitalBeds,2.0011519784226453
GDPGrowth,1.0763358977015038
