Feature,Abs_Pearson,Abs_Spearman,RF_Importance,RFE_Rank,Permutation_Importance,Pearson_Rank,Spearman_Rank,RF_Rank,Permutation_Rank,Consensus_Rank
GovHealthExpPC,0.76142968546665,0.85526856467964,0.625992333893935,1,3.1185105890766827,1.0,1.0,1.0,1.0,1.0
GDPPerCapita,0.6808909164592598,0.7783820790664864,0.026890039334540403,1,0.0836373429804536,2.0,2.0,6.0,10.0,4.2
Diabetes,0.4885980989085378,0.5496923696250112,0.06349925349848767,1,0.5479397188259053,8.0,9.0,3.0,2.0,4.6
Unemployment,0.6442624985791988,0.6756573980463771,0.011034709370101039,1,0.08476448260721739,3.0,3.0,10.0,9.0,5.2
UrbanPopulation,0.6396846613073252,0.6357400000109313,0.015307792289447134,3,0.08563325939578123,4.0,4.0,9.0,8.0,5.6
Physicians,0.5064983460872465,0.4871979972323174,0.04124012964833854,1,0.23219732421850234,7.0,11.0,5.0,5.0,5.8
OldAgeDependency,0.44109086886575705,0.5908409004489587,0.015420650233737147,1,0.17108861325896055,11.0,6.0,8.0,6.0,6.4
PM25,0.4622315981761101,0.5571277139587163,0.017518671942044834,1,0.10722275942228836,10.0,8.0,7.0,7.0,6.6
UHCIndex,0.633045039289759,0.605189519349131,0.010034391808819827,1,0.07143050664130524,5.0,5.0,11.0,11.0,6.6
PopulationDensity,0.26768518876809194,0.397386716144075,0.05379381235141999,1,0.5009304033802027,14.0,12.0,4.0,4.0,7.0
HospitalBeds,0.008389473437747444,0.020062002502779272,0.0775900583543309,4,0.5417391860161642,17.0,17.0,2.0,3.0,8.6
OOPExpenditure,0.5935371138954599,0.5595952968975033,0.007820642668635004,5,0.03389393806844889,6.0,7.0,14.0,16.0,9.6
AdultObesity,0.2798180394046733,0.30780856440733895,0.00812379518443631,1,0.053857298896316,13.0,13.0,13.0,12.0,10.4
NursesMidwives,0.4833221677756226,0.5003987282485378,0.004037344315243553,1,0.02280666820186734,9.0,10.0,17.0,17.0,10.8
DPTImmunization,0.37258484936246694,0.20859581226672852,0.006139100472103671,2,0.04531505725879918,12.0,15.0,16.0,14.0,11.8
HealthExpGDP,0.17913826267082408,0.24074708633011663,0.00824971720743174,6,0.051473670585456176,15.0,14.0,12.0,13.0,12.0
GDPGrowth,0.050568884701503634,0.12431868105858346,0.007307557426947154,7,0.034963460473305376,16.0,16.0,15.0,15.0,13.8
