Target,Repeat,Fold,Test_Countries,Test_RMSE,Test_MAE,Test_R2,RMSE_Improvement_vs_Dummy_Pct
LifeExpectancy,0,0,"JOR, MAR, OMN, TUR",1.4788146149601367,1.2099983617710641,0.7480804230196059,51.13164299091427
LifeExpectancy,0,1,"ARE, EGY, KWT, LBY",2.6457991655144437,2.2764790062456313,0.7175175556997968,46.899796110903836
LifeExpectancy,0,2,"DZA, IRN, IRQ, QAT",2.7076495752244005,1.874930978147505,0.660047378662953,44.196517691762836
LifeExpectancy,0,3,"BHR, LBN, SAU, TUN",2.3572801100084106,1.899700510571148,-0.14788877771492848,18.596642774431395
NCDMortality,0,0,"JOR, MAR, OMN, TUR",4.906537582791104,4.084517572415613,-0.40576217206067056,5.677937718404789
NCDMortality,0,1,"ARE, EGY, KWT, LBY",6.891714515181776,5.942120757802363,0.19578843105782773,10.984198874141025
NCDMortality,0,2,"DZA, IRN, IRQ, QAT",5.443971088821049,4.623537690976995,-0.20580467108689482,-9.220216052965663
NCDMortality,0,3,"BHR, LBN, SAU, TUN",3.1628524223628305,2.58372335457973,0.3001434898956459,32.16269332072785
LifeExpectancy,1,0,"DZA, KWT, TUN, TUR",1.3531272216252916,1.0827739075275211,0.6682231866446418,44.637694151110836
LifeExpectancy,1,1,"LBN, MAR, OMN, SAU",2.215543941308916,1.8713816475124636,0.5031552479166548,30.162069279292446
LifeExpectancy,1,2,"BHR, IRQ, LBY, QAT",3.4443217853712764,2.834780210459543,0.5603448054176776,34.4113478574062
LifeExpectancy,1,3,"ARE, EGY, IRN, JOR",2.2345043463819145,1.8566427531253373,0.7519689508031544,50.33438668745537
NCDMortality,1,0,"DZA, KWT, TUN, TUR",3.272914911912495,2.8482447533073647,-0.5638767368086104,29.253275045412842
NCDMortality,1,1,"LBN, MAR, OMN, SAU",4.690537236177123,3.8859138822465464,0.15064182482836086,9.489043300526005
NCDMortality,1,2,"BHR, IRQ, LBY, QAT",6.43413591071328,5.332855718171046,-1.0031494622977268,-11.293297683811927
NCDMortality,1,3,"ARE, EGY, IRN, JOR",6.340420693241703,5.448900992934321,0.2803090011111634,15.570427158824005
