Target,Fold,Feature,Importance
LifeExpectancy,0,Diabetes,0.04735470478966727
LifeExpectancy,0,GDPPerCapita,0.4171390138596764
LifeExpectancy,0,GovHealthExpPC,0.5656498025362499
LifeExpectancy,0,HealthExpGDP,0.1654618540228315
LifeExpectancy,0,OOPExpenditure,0.13633576280931706
LifeExpectancy,0,OldAgeDependency,0.38217409326324936
LifeExpectancy,0,Physicians,0.30422098145824833
LifeExpectancy,0,UHCIndex,0.09987245805523881
LifeExpectancy,0,Unemployment,0.16690417336037786
LifeExpectancy,1,Diabetes,0.01541934522508015
LifeExpectancy,1,GDPPerCapita,0.7219542837531677
LifeExpectancy,1,GovHealthExpPC,1.0639931668892917
LifeExpectancy,1,HealthExpGDP,-0.027176373480714222
LifeExpectancy,1,OOPExpenditure,0.3459840717563976
LifeExpectancy,1,OldAgeDependency,0.07243904556891012
LifeExpectancy,1,Physicians,0.23573479331214564
LifeExpectancy,1,UHCIndex,0.1397406203266883
LifeExpectancy,1,Unemployment,0.295678557996691
LifeExpectancy,2,Diabetes,0.005579041153654411
LifeExpectancy,2,GDPPerCapita,0.45983446472673356
LifeExpectancy,2,GovHealthExpPC,0.4930977651819606
LifeExpectancy,2,HealthExpGDP,0.16536808172625403
LifeExpectancy,2,OOPExpenditure,-0.02674659301085584
LifeExpectancy,2,OldAgeDependency,0.1405573594504904
LifeExpectancy,2,Physicians,0.1142251722594098
LifeExpectancy,2,UHCIndex,0.18335105691408962
LifeExpectancy,2,Unemployment,0.11211781844194298
LifeExpectancy,3,Diabetes,-0.007994771016569905
LifeExpectancy,3,GDPPerCapita,0.025566868496142536
LifeExpectancy,3,GovHealthExpPC,0.17670206139085462
LifeExpectancy,3,HealthExpGDP,0.10194904779739582
LifeExpectancy,3,OOPExpenditure,-0.09074999318804207
LifeExpectancy,3,OldAgeDependency,0.08477879171967458
LifeExpectancy,3,Physicians,-0.12562735262102884
LifeExpectancy,3,UHCIndex,-0.04822850338635861
LifeExpectancy,3,Unemployment,0.10094664131499398
NCDMortality,0,AdultObesity,-0.12403191223711711
NCDMortality,0,Diabetes,-0.09902752717728742
NCDMortality,0,GovHealthExpPC,-0.02297776799176976
NCDMortality,0,HealthExpGDP,0.35415023198800605
NCDMortality,0,OOPExpenditure,-0.0007611879319355808
NCDMortality,0,OldAgeDependency,0.15002702027859507
NCDMortality,0,Physicians,0.10233637347074549
NCDMortality,0,UHCIndex,-0.07053809450333699
NCDMortality,0,UrbanPopulation,0.07459342783977559
NCDMortality,1,AdultObesity,-0.004726792056915841
NCDMortality,1,Diabetes,0.2554582372438932
NCDMortality,1,GovHealthExpPC,0.43703669492926106
NCDMortality,1,HealthExpGDP,-0.2667979548037902
NCDMortality,1,OOPExpenditure,0.24344821488454352
NCDMortality,1,OldAgeDependency,-0.35318467840592344
NCDMortality,1,Physicians,0.1358362359293984
NCDMortality,1,UHCIndex,0.10410279216836749
NCDMortality,1,UrbanPopulation,0.7138051239488066
NCDMortality,2,AdultObesity,-0.25888409814866264
NCDMortality,2,Diabetes,-0.06048424662340235
NCDMortality,2,GovHealthExpPC,-0.35769728067719697
NCDMortality,2,HealthExpGDP,0.23923737593430486
NCDMortality,2,OOPExpenditure,-0.10109868542399614
NCDMortality,2,OldAgeDependency,0.07510645185019686
NCDMortality,2,Physicians,-0.06794401250283529
NCDMortality,2,UHCIndex,-0.1507845191223026
NCDMortality,2,UrbanPopulation,-0.49094868360547395
NCDMortality,3,AdultObesity,0.3832102212323119
NCDMortality,3,Diabetes,0.3875468730298646
NCDMortality,3,GovHealthExpPC,0.22280253679861298
NCDMortality,3,HealthExpGDP,0.26677539801267924
NCDMortality,3,OOPExpenditure,0.08480614997755993
NCDMortality,3,OldAgeDependency,0.5837349997426884
NCDMortality,3,Physicians,0.01638099134467952
NCDMortality,3,UHCIndex,0.033991995264797126
NCDMortality,3,UrbanPopulation,0.09316175355154499
