Target,CountryCode,N_Predictions,RMSE,MAE,Mean_Bias
LifeExpectancy,IRQ,48,4.9345486053372705,4.116169276553607,-4.116169276553607
LifeExpectancy,LBY,48,3.3354702725997187,3.1566349660729713,-3.1566349660729713
LifeExpectancy,ARE,48,3.3328300789527754,3.077186621043424,3.00190307365258
LifeExpectancy,LBN,48,3.1365003155091156,2.9397363315085663,2.935292431789538
LifeExpectancy,BHR,48,2.7112336635383234,2.2848419012554904,2.2070584627020127
LifeExpectancy,SAU,48,2.186395305724859,1.9068149091307873,-1.8577777947302259
LifeExpectancy,EGY,48,2.1089611880118757,1.90274706299214,-1.898854098496458
LifeExpectancy,JOR,48,1.8825059783467701,1.566272537712894,0.32154138129672355
LifeExpectancy,QAT,48,1.6414662317448785,1.452906191072466,-0.03598686194084285
LifeExpectancy,KWT,48,1.5668812535211778,1.249962610594994,-0.05162933588394836
LifeExpectancy,TUR,48,1.5101094729520663,1.3597533812494935,0.08288383744488244
LifeExpectancy,OMN,48,1.4602846880487532,1.236665377402085,0.1667424296280693
LifeExpectancy,IRN,48,1.2845196396604253,1.1160806370686143,0.9390028701312717
LifeExpectancy,MAR,48,1.2216659340295384,1.001122548729214,0.2183970864845793
LifeExpectancy,DZA,48,1.1550439623268822,0.8292830521397535,0.29286296304707626
LifeExpectancy,TUN,48,0.8719564979385808,0.6171973461939251,0.3611519529738005
NCDMortality,ARE,44,9.920773275016648,9.7180403324553,-9.7180403324553
NCDMortality,QAT,44,8.453596288387192,7.031688864421273,7.031688864421273
NCDMortality,OMN,44,7.6575461557688245,7.204072758491862,7.200976799568631
NCDMortality,EGY,44,7.390620059998035,7.290017693591651,7.290017693591651
NCDMortality,BHR,44,5.248110869879168,4.13432124052387,2.0539883551391647
NCDMortality,DZA,44,5.108557998451898,5.081293513511156,-5.081293513511156
NCDMortality,JOR,44,4.347963214031282,3.8054538215571667,0.7154263403175253
NCDMortality,IRQ,44,4.278703415410779,3.599813206402713,3.5695365772836722
NCDMortality,LBY,44,4.2522852327605465,3.7564083218762305,3.6056065097122496
NCDMortality,LBN,44,3.707340121201002,3.5129528891211077,-3.5129528891211077
NCDMortality,KWT,44,3.4836366019962224,3.3444382014542366,-3.3444382014542366
NCDMortality,MAR,44,3.453264250807373,3.2474557738093397,3.2474557738093397
NCDMortality,IRN,44,3.1845494795452676,2.8571851809670776,-2.8571619901155447
NCDMortality,SAU,44,2.103668618977826,1.7962884619796478,0.7091993687314947
NCDMortality,TUR,44,1.8533698003338654,1.534433997623362,0.34211802096034893
NCDMortality,TUN,44,1.7775405057337599,1.585765187081963,-1.585765187081963
