Target,Feature,ML_Importance_Rank,ML_Importance_Mean,Pooled_Correlation_r,FE_Coefficient,FE_P_Value,Evidence_Assessment
LifeExpectancy,GovHealthExpPC,1,0.5749,0.756,,,Not in fixed-effects model
LifeExpectancy,GDPPerCapita,2,0.4061,0.668,,,Not in fixed-effects model
LifeExpectancy,OldAgeDependency,3,0.17,-0.34,-0.0724,0.7154,FE not significant
LifeExpectancy,Unemployment,4,0.1689,-0.574,,,Not in fixed-effects model
LifeExpectancy,Physicians,5,0.1321,0.577,-0.3971,0.1369,FE not significant
LifeExpectancy,HealthExpGDP,6,0.1014,-0.103,-0.0882,0.6529,FE not significant
LifeExpectancy,UHCIndex,7,0.0937,0.652,-0.0537,0.4365,FE not significant
LifeExpectancy,OOPExpenditure,8,0.0912,-0.657,0.032,0.0616,FE not significant
LifeExpectancy,Diabetes,9,0.0151,0.401,,,Not in fixed-effects model
NCDMortality,HealthExpGDP,1,0.1483,-0.195,-0.185,0.61,FE not significant
NCDMortality,Diabetes,2,0.1209,-0.215,,,Not in fixed-effects model
NCDMortality,OldAgeDependency,3,0.1139,0.014,0.547,0.145,FE not significant
NCDMortality,UrbanPopulation,4,0.0977,-0.505,,,Not in fixed-effects model
NCDMortality,GovHealthExpPC,5,0.0698,-0.466,,,Not in fixed-effects model
NCDMortality,OOPExpenditure,6,0.0566,0.364,0.021,0.4656,FE not significant
NCDMortality,Physicians,7,0.0467,-0.426,1.6263,0.1625,FE not significant
NCDMortality,AdultObesity,8,-0.0011,-0.112,,,Not in fixed-effects model
NCDMortality,UHCIndex,9,-0.0208,-0.285,0.4258,0.0,"FE significant, CONTRADICTS pooled correlation -- treat with caution"
