Country,CountryCode,Year,LifeExpectancy,NCDMortality,HealthExpPC,HealthExpGDP,Physicians,UHCIndex,OOPExpenditure,OldAgeDependency,GDPPerCapita,GDPGrowth,Diabetes,AdultObesity,PM25,HospitalBeds,NursesMidwives,UrbanPopulation,Unemployment,Population,PopulationDensity,GovHealthExpShare,GovHealthExpPC,DPTImmunization,HealthExpGDP_Imputed,OOPExpenditure_Imputed,Diabetes_Imputed,HospitalBeds_Imputed,NursesMidwives_Imputed,GovHealthExpShare_Imputed,GovHealthExpPC_Imputed,DPTImmunization_Imputed
Saudi Arabia,SAU,2000,72.607,19.5,493.3698425,4.2115941,0.924,74,18.46246338,3.746195881,22247.8567,4.718134221,25.1,27.28,62.59858999,,2.256,79.97048608,4.57,16177722,7.525606948,72.05238342,355.4847421,95,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2001,72.951,19.2,482.1044617,4.46173573,0.849,75,18.03369141,3.722857471,21193.09229,0.3445931962,25.35,27.98,59.75086293,,2.51775,80.15524281,4.618,17041397,7.92737418,72.5404892,349.7209374,97,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2002,73.296,18.9,449.8413086,4.2493763,,76,18.45171165,3.688569974,20025.432,-0.6883901303,25.51,28.68,59.16414054,2.63,2.7795,80.34381341,5.265,17910910,8.331857151,72.31415558,325.298947,95,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2003,73.657,18.7,457.0877075,3.97909737,,77,17.94919586,3.64823005,20765.93877,8.768733817,25.59,29.37,71.58487542,2.62,3.04125,80.54144563,5.563,18786767,8.739291247,72.37438965,330.8144237,95,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2004,74.027,18.6,471.4579773,3.58400965,,78,18.15097046,3.605936076,21545.89499,8.631005459,25.6,30.06,68.29324338,2.6,3.303,80.75423165,5.822,19669480,9.149914639,71.47950745,336.9958603,96,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2005,74.4,18.5,545.7357178,3.4186728,,78,16.49158669,3.565916571,21838.19153,5.944896239,25.55,30.73,67.48218307,2.59,3.56475,80.97755031,6.051,20559890,9.564118547,72.49501038,395.6311699,96,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2006,74.762,18.7,634.8187256,3.61922002,,79,15.39395142,3.531832767,21616.33558,3.313484736,25.45,31.39,67.79075702,2.49,3.8265,81.20085881,6.254,21459144,9.982436537,72.98228455,463.3052154,96,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2007,75.066,18.7,662.0079346,3.56229162,,80,16.73869896,3.504695885,21196.7926,2.213653964,25.31,32.05,67.8152709,2.39,4.08825,81.42300155,5.734,22368313,10.40536682,70.38717651,465.9686927,96,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2008,75.301,18.1,663.1433106,2.97100711,1.971,80,19.36904335,3.481700588,21629.84057,6.237987537,25.13,32.71,69.9360488,2.31,4.35,81.6441431,5.085,23287877,10.83313268,63.59476471,421.7244215,98,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2009,75.447,17.1,760.1947632,4.29042768,1.937,81,18.35076332,3.457244669,20577.54534,-1.066717112,24.93,33.36,71.52737183,2.31,4.578,81.86444801,5.377,24217654,11.26564947,64.98739624,494.0307973,98,0,0,0,0,0,0,0,0
