"Data Source","World Development Indicators",

"Last Updated Date","2026-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","706.03112793","689.29278564","754.26220703","784.89343262","821.74920654","898.36480713","1031.14904785","1176.49328613","1465.82446289","1531.02209473","1619.98864746","1787.59997559","1711.38525391","1789.68579102","1776.7310791","1479.49743652","1592.91906738","1695.203125","1872.58422852","1962.46728516","2154.41113281","2249.96313477","2240.9050293","2401.52026367",
"Bahrain","BHR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","451.50253296","457.59741211","469.15478516","530.5446167","527.82989502","557.9574585","578.29705811","677.16290283","734.99511719","838.52880859","866.67224121","921.72064209","1038.1661377","1115.16906738","1122.16040039","1128.24291992","1095.92541504","1080.08898926","1041.8560791","1030.26379395","1101.14025879","1176.92102051","1178.80664063","1175.81628418",
"Egypt, Arab Rep.","EGY","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","69.37174988","68.67334747","63.99928665","50.34780884","50.33084488","59.4683876","66.32707214","73.29454041","90.15769958","98.90396881","105.07817841","116.22949219","139.81625366","139.67245483","155.06480408","170.25532532","142.61845398","106.00288391","118.01481628","142.69670105","148.35269165","176.93664551","171.67852783","141.41111755",
"Iraq","IRQ","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","26.98275757","51.81518173","53.0551796","56.76464462","100.59433746","139.28845215","140.1234436","144.54083252","161.89790344","174.48312378","186.78742981","178.98071289","149.07951355","199.88560486","197.23654175","232.86825562","241.73873901","248.04725647","251.59538269","283.17074585","333.29360962",
"Jordan","JOR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","151.33486938","161.33900452","164.75001526","161.87841797","175.04393005","185.0302124","188.72041321","208.03627014","275.17532349","316.92221069","303.8081665","321.59057617","325.97836304","308.94308472","302.14120483","301.63067627","278.13378906","289.04656982","289.47106934","294.92785645","303.4822998","322.01589966","334.387146","342.10394287",
"Kuwait","KWT","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","425.20968628","553.75134277","578.41534424","626.35095215","649.42504883","727.25366211","782.20379639","880.71105957","1069.46472168","1025.90490723","1050.41589355","1147.15539551","1216.8684082","1235.29321289","1293.8326416","1259.55786133","1292.71984863","1351.72387695","1658.60375977","1643.16491699","1542.72143555","1829.13134766","1683.39929199","1679.12353516",
"Lebanon","LBN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","425.70095825","416.57485962","391.74139404","373.35971069","368.01425171","347.40252686","401.43670654","438.71112061","462.17767334","496.88284302","567.25506592","640.69805908","588.83917236","576.87176514","569.97937012","572.07220459","640.96563721","671.77996826","740.38696289","798.13421631","303.48632813","189.8581543","230.39093018","260.8119812",
"Morocco","MAR","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","54.63968277","56.55395889","63.57953644","77.74629211","91.17259979","97.19748688","110.22368622","131.86448669","153.23677063","165.50694275","168.36595154","179.00019836","172.04353333","179.81974792","188.6415863","162.85198975","162.21507263","166.8500061","175.70518494","178.73939514","192.04043579","209.57344055","201.81098938","232.24751282",
"Oman","OMN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","261.88265991","259.59085083","274.11166382","290.38589478","306.42941284","326.909729","341.97601318","397.21173096","466.60375977","510.08691406","583.57073975","563.23632813","561.1171875","587.71075439","726.64660645","767.04455566","714.48864746","704.6295166","639.78082275","730.08325195","859.24987793","843.01953125","712.06097412","732.04089355",
"Qatar","QAT","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","553.08605957","598.73602295","668.85986328","1115.45336914","1261.61999512","1386.015625","1378.9296875","1301.49682617","1292.60046387","1325.43005371","1309.79272461","1482.28308105","1712.67089844","2029.8659668","2252.4140625","2422.64453125","2072.06103516","1911.95361328","1966.55712891","2007.51525879","1967.15197754","1847.00231934","1781.50390625","1804.35424805",
"Saudi Arabia","SAU","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","493.36984253","482.10446167","449.84130859","457.08770752","471.45797729","545.73571777","634.81872559","662.00793457","663.14331055","760.19476318","765.91680908","954.38873291","1093.15588379","1189.67932129","1363.59155273","1309.27148438","1353.21813965","1400.90356445","1488.9753418","1504.55249023","1574.70068359","1654.74353027","1830.89074707","1825.2545166",
"Tunisia","TUN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","111.01378632","114.00454712","124.64620972","148.93447876","167.27586365","169.84550476","178.82592773","202.32022095","230.50152588","231.3591156","240.75447083","270.67507935","270.29055786","284.64538574","287.60955811","249.46418762","240.40258789","223.85903931","215.418396","212.60031128","250.40145874","285.25247192","276.46380615","317.70983887",
