"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","16150.6510725001","18992.0683778812","22468.5071202357","24730.3964479092","24763.6538099384","25460.3630272927","25743.4455010025","25870.1533960504","26581.9767488997","26504.1864180809","25779.5979282247","26547.4166076696","26418.0883302727","26384.8105935137","28104.8954362859","29007.7386958774","28535.4639480222","28525.8077063839","29959.7748189582","29081.7066997897","28885.9118700469","29556.8384686554","29870.6648077005","26204.0597361984","25429.2180974853","26093.0542083227","25444.7336646687","26680.1411206342","26773.8229102391","27458.2201537506","27587.2498040483","28548.8904317739","29419.208623316","29700.3634670565","22718.2294445007","26303.0397202375","29198.9903584827","31963.0764505349","33938.9541769192","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1186.27164538708","1160.37866888624","1219.27286582803","1253.36594034231","1275.81951392588","1304.20668313041","1329.28115929064","1360.97570218144","1377.15658836605","1406.45409275069","1381.60880745634","1415.88484924786","1414.23836393042","1437.00344648521","1471.21791218952","1448.49518908387","1439.89104858576","1415.2569195651","1393.9087216904","1390.51720422277","1423.01345078949","1433.87207216902","1392.7846820775","1350.68449857476","1354.94939180153","1313.62584417219","1303.91413747521","1315.25849556462","1332.36562989239","1329.77597270474","1293.76522236797","1257.32746247235","1194.98293940344","1152.59004074875","1143.91396339554","1163.1260924151","1195.05178683805","1209.72360539762","1199.70458220191","1199.43029122354","1205.87666437284","1216.22788108397","1231.33260616804","1235.59805226329","1271.19569954919","1314.2677841971","1364.58002599767","1417.37331385996","1440.52144510506","1414.50548927128","1449.78072652181","1464.88611192938","1452.76568595828","1478.87995623663","1495.79844862987","1498.71597073834","1493.11936575691","1493.1423907296","1492.18670204384","1480.22900239543","1398.57793000832","1422.65546311873","1437.09139374966","1428.54623843676","1432.50843496815","1449.27138341047",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308.318269746638","277.118051443941","338.139973643387","346.071627096223","338.637273888197","363.640141436773","367.75831169358","410.757728879097","417.647282647498","488.830652491949","542.871030476037","525.42698276582","568.929021458341","580.603833333096","575.146245808546","565.569730408751","563.872336723147","562.769574140988","553.125151688293","557.861533207459","527.834554499306","408.625855217403","377.665627080705","378.06630312259","374.37669620849","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1130.43838794104","1127.59889973542","1144.94666619594","1199.2222698736","1236.29440063853","1259.00426369838","1212.6654411291","1079.56677716937","1071.9975959619","1204.35399179741","1379.12618829728","1486.30274609691","1496.25642189215","1516.22185503051","1623.8138315369","1549.11025143149","1635.12890940507","1663.87549185459","1587.04523099037","1620.35909879688","1604.54508676268","1455.9568599772","1368.17916163808","1247.80247140321","1221.4548831267","1251.83100002558","1233.41012340673","1217.03627137269","1240.42640069534","1227.32332211234","1262.02804836058","1242.85591692511","1236.74838636786","1187.89176137229","1154.07891669578","1143.74503484233","1164.38761748098","1182.83224603344","1192.28326968998","1177.84021453424","1189.60989480741","1217.48637912529","1301.45284845521","1336.53509360063","1404.15452106467","1443.9895720102","1477.96252664219","1515.04513261704","1564.2103448338","1614.44023110383","1679.8619541977","1713.47507358227","1752.04877339883","1808.05542437383","1859.65082949513","1863.40151301991","1817.66095620629","1811.55471646765","1817.65066402569","1832.1636948549","1722.44898220443","1725.17121673839","1761.05945140847","1782.32607004266","1820.07044608507","1860.36585549564",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3186.73959671623","2937.55129348153","2831.46994190715","2842.76539929869","2903.70027038757","2896.78303599316","2874.86018426177","2890.075475723","2964.57234489924","2866.24611382809","2675.05239369334","2612.33170519933","2380.58274214001","1752.7231866103","1719.54294463666","1912.51777520778","2099.35045383251","2176.87757983993","2203.98692701402","2179.06426973197","2172.46326718726","2189.17352158048","2404.97792071735","2403.40415157242","2583.32411461508","2843.39663579921","3065.05576244155","3336.36332465491","3559.19522512538","3494.80724466468","3540.79159568681","3528.16824373698","3682.35229323075","3716.29718727597","3746.81619978931","3641.72893920253","3505.59634681792","3378.07588102598","3246.87857140997","3105.59971242672","2847.24241578243","2788.16737086685","2798.01717317688","2748.95196954248","2798.59392792708","2800.95785565447",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1823.48926046182","1890.02197487257","1905.06352710108","1885.6927997741","1823.32356317723","1818.02506971777","1883.74041369284","1831.94703921937","1772.17935790921","1894.87827425617","1682.8810874018","1218.96427317362","1138.23773998809","1254.67888414888","1367.22058963712","1558.96638565461","1683.76965547424","1495.90035328523","1630.43874131845","1841.80762760566","1991.91435867116","2188.91854451375","2297.10853513924","2428.68934653563","2567.29763687121","2712.86983830331","2894.36032580174","3105.8796756386","3345.98161761476","3459.24695646692","3579.82413181046","3677.89457937717","3771.84781862015","3895.89975621942","4045.11934884933","4199.53912925398","4431.55635814168","4648.23078660658","4893.82375538717","5072.43648354739","4980.61699524696","5511.75743402862","5867.65096230557","6204.43525612114","6549.23387415397","6877.07720478965",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","43005.5424076199","41930.1505196359","42354.7451326702","42738.1683163052","42363.4459779041","40073.4103686682","39058.5886593417","38021.8198338874","36647.7020460133","34983.9990938008","34281.7439470011","32958.7650434369","31996.5442033019","31117.1962264429","30392.8420669422","29997.0862678001","29680.1329452757","30064.9979685293","30469.3442419146","31180.4123341226","31143.1468757172","29642.3059817481","28161.9424937627","26518.2336337044","26587.1383046901","27619.5060618267","28871.2160752297","31140.6896819813","31800.3640678661","32938.6437411832","34113.8173783949","36790.1037086022","38084.4843108589","39620.3201605161","40054.3211531421","40528.17486238","41322.0529213846","40789.1589697748","37775.1261404342","35604.3840098196","36277.2644425331","37637.4868342866","36206.9784356446","35684.1694347737","37300.6244197096","38654.9347217207","40085.020598622","39361.0622648699","39242.1448975099","39346.275035865","34536.6499222556","36929.0191528644","39780.3966130791","40227.23352974","41223.9924906603","42319.6276533021",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","2399.88087734787","2491.10651940972","2681.50688151072","2799.16016736405","3343.73869378353","3493.05430449261","3868.08984222469","4255.42094332646","4565.59479113866","4425.98171531478","4900.63861556752","5062.3719142707","5043.27472660477","5387.81725914159","5531.26838100316","5403.32702594608","4925.41802509733","4593.45649754591","4507.18975724086","4333.74478167399","4171.51324044776","4059.12183806774","4077.68616577353","4120.6737838127","4299.76237187585","4172.37895844352","4334.43634376787","4352.86077803648","4377.18722063061","4387.70518810507","4488.04815990419","4620.86985061194","4725.56339133207","4741.99153927008","4922.11520199761","4907.21186577842","4853.12978171597","4939.55134024018","5264.51546177734","5427.84243278416","5632.36344117714","5746.68567268712","5915.86136125116","5810.71141659136","5965.71571721365","6054.00045574247","6235.42337538268","6234.27485821589","6247.36371197299","6299.87807685552","6375.45441645456","6332.00881888743","6386.55005729143","6377.12720480427","5914.3140803644","6083.57198947026","6361.38084442534","6322.02558331114","6311.25329101256","6403.69503357038",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","48741.0796612797","56948.8005045718","68920.9758767467","107395.097052308","109718.570185402","105007.188489353","107855.628594193","113580.442231378","98092.3300146076","105254.749507412","117073.349209195","113153.021056465","99530.8620333545","89516.4418303787","88072.4472005835","80474.9846535844","64264.8083407516","61928.0314785734","56449.7552349159","59586.0443169486","66481.5897466438","63430.906618065","62201.818382813","59942.9907988351","61156.7439104734","62393.299324125","61871.4211109814","61715.5311994502","57355.8965054096","54943.770569469","56939.3600767998","54169.4135701565","52216.8318338175","53619.1662875958","55611.4376344125","55363.5818196998","56629.9713117545","52038.6229393122","47922.6941430472","42672.1946222627","42328.84668186","43687.7919424546","43958.5779670713","44312.6320463505","44257.6652085451","44910.3458860776","45168.4955973912","43293.0202360765","43377.802601486","43468.4534705013","39878.4663896389","40935.8915482084","41828.5686923546","41926.5773498407","41605.4138706908","",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7397.10965495682","7670.59545571641","7480.27172420174","6967.75019555221","7551.02490778789","8219.55155637229","8041.22487411475","8172.27456469042","8436.30856351031","9111.9459748551","9244.12251785153","9614.61061692134","9617.68814943737","9729.53258885903","10100.4469136163","9936.49583447894","9584.74851751038","10088.3374871635","9480.94009490414","10284.6064087552","10275.7987023886","9587.67379423426","9365.68465387847","9617.7000569575","9614.44726215357","8973.31874865813","9378.46866394349","9484.45876638052","9236.80771302535","8445.4100923428","8115.09386370753","8729.82318518892","9293.18692251748","9920.67358582437","10359.8927204871","9934.10776139515","10352.1400002191","11056.6881331002","11348.2022124673","10838.3199346387","10631.6503639029","10051.9448463043","8861.56199282278","9545.53194119994","10302.4465316428","11099.7509190602","11870.2791559298","12811.9021206578","13197.3570267029","12285.3784651865","13387.1553748458","14040.6189124444","13754.4254235596","13946.0950832252","13456.1319159151","13679.6264980954","13265.8860639123","13520.1129846159","13058.3285449954","12706.3978108968","11393.0505957877","12549.2811699342","13276.8232110189","12993.0928872416","12774.3506596628","13287.1159527489",
