"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","7.99101140138966","16.5357637516","16.9625594836053","28.0218376856967","34.4440087143735","38.70199437769","41.5410231752465","48.5063950679439","50.6480362048542","54.5153590522169","59.230359082396","53.4601450917461","52.6869454940363","56.3642525037635","59.0585258639579","59.5661451490592","58.4996251605871","58.0509780442395","55.4439922052286","53.45940194488","55.5252880860677","57.5846803589508","59.3423267585792","61.9089714175388","65.017993001551","68.0835616233532","69.2083937411649","70.8929877098943","72.47780157077","74.3408637986631","74.3848338280294","77.2591285040036","76.5931229554948","76.2480891195654","78.3273847105124","77.6619612527474","78.2381268757419","78.0278877649092","78.7384565075682","79.227393266777","76.9147226329942","74.6274459654541","74.689517636041","73.7687899053616","73.7351193812973","",
"Afghanistan","AFG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","3","5","5","16","15","11","25","35","33","25","23","21","18","12","20","31","28","27","27","24","33","36","41","50","58","58","63","64","63","66","68","67","64","62","64","66","64","68","65","61","55","58","60","59","",
"Africa Western and Central","AFW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","1.42524137266316","3.35563777547199","4.56591458588902","5.30509561439047","10.5640811637865","16.3030076275017","23.9561001803995","29.3544216107947","34.7259967027182","42.9923003833638","51.3684239263764","41.3718255576741","43.5542680204254","37.9417053974357","44.9520816668308","41.7511315494692","37.7002072616752","34.912824557244","35.433493266294","41.4252120345393","43.1471315403507","42.4261096460097","43.3839632224418","47.0737557750422","50.1730330472169","53.8185764041716","57.1660139670458","59.1996259687692","64.353779494089","69.5913838878957","66.9918850904956","64.330589853041","57.8716445944692","58.0754839548792","60.5207677039656","60.2032858252718","66.3164914082952","67.6491114709772","69.8195928168207","72.1425790218181","69.0036261289124","69.9313949630555","69.6922463421525","74.0194665958544","74.2751243306049","",
"Angola","AGO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","6","8","8","10","10","12","18","24","26","21","30","27","24","28","41","47","21","31","42","47","46","47","47","44","43","45","47","49","50","52","54","55","57","59","58","67","64","59","55","54","66","64","",
"Albania","ALB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","94","94","95","95","95","96","96","96","96","94","94","78","94","96","99","97","98","99","96","97","97","97","98","97","97","98","97","98","99","98","99","99","99","99","99","99","99","99","99","99","98","98","97","97","97","",
"Andorra","AND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","89","90","98","96","97","99","99","98","93","96","99","99","99","99","99","96","97","97","98","99","99","99","99","99","98","98","98","",
"Arab World","ARB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","20.754434111827","22.8076333534474","27.561351883407","31.4682649392641","40.710197058568","57.01230499795","62.8367399905985","66.3628288942514","72.0052740035609","79.3432313993053","80.5853768230784","74.1051913239639","74.6177196149053","75.3331812060392","73.1869220821273","75.974768815181","77.8068695458909","76.2390493513497","78.4954630841451","81.2031144765579","82.9694610718705","83.9846342639774","81.8884277855754","82.2980862947832","83.3368179005636","84.2276586520912","83.4958666268376","85.0619550394644","85.9000059837426","86.6595325524544","87.5900190281754","87.3400387543124","84.6687686986794","86.0970245588369","85.622858844852","84.2595347776286","84.911202452905","85.9513291891634","85.4068144462159","85.6972271302658","82.1404199949297","82.0330220171236","84.3118164997968","78.8276132490055","77.0521927030378","",
"United Arab Emirates","ARE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","45","43","50","59","76","78","80","82","84","85","85","86","90","90","90","90","92","94","94","94","94","94","94","94","94","92","92","92","93","94","95","96","98","99","99","99","97","99","99","90","96","96","96","96","",
"Argentina","ARG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","49","58","61","62","66","67","75","80","80","87","80","81","81","82","85","83","88","84","86","83","83","93","96","98","98","91","91","93","94","94","91","91","94","94","94","92","88","86","83","74","81","84","66","75","",
