"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4223101119546","34.8203621833908","35.261749221955","38.7186576464744","38.2194512208698","38.26575484657","41.5202778471707","42.2991529122003","41.9439583727164","43.6621998301075","44.1746397372163","44.3947186798479","44.7038620016616","42.9268727641787","45.6669384060234","45.0651393055768","44.8698422501554","46.7581907988812","47.2260223210671","47.2593709795246","51.9795934107781","51.7911801813681","49.5846261921187","47.8118018675439","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89142376","7.28044462","5.53527164","5.31934786","4.6865387","5.65336657","6.12099695","5.41736698","5.47462463","5.60622549","4.34189463","5.03476191","4.96025801","5.1722393","5.0778451","5.09581852","3.88780427","3.35139465","7.63642311","3.30272126","0.78598934","1.65323246","","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9987997285761","25.6661898086016","22.6005203983244","21.3754405107326","25.7592903201766","26.6698739933299","23.8876452746154","22.8520249365846","21.7371457776356","21.2453155111759","20.435825632064","21.209800477561","21.6463851331292","20.1925177345252","18.180999726418","19.4707489667713","18.9372790923701","21.3848099373807","22.6096748693165","23.772874587031","25.4408029634737","23.6139666956146","23.3657531141543","24.4160629850516","","",
"Angola","AGO","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.20957184","45.64084625","39.30446243","41.30799866","42.51447678","44.83417511","53.77399445","57.8937912","64.35443115","67.67429352","62.1162796","64.75705719","65.25454712","62.02980042","54.15326309","47.36523056","44.13825607","46.27865219","42.62167358","45.51115799","51.84991074","55.35900879","50.26585007","44.52539825","","",
"Albania","ALB","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.53004456","46.46232605","45.69914627","45.17244339","47.86219788","46.90119171","46.82453156","46.37307358","41.75666428","40.48207474","38.14052582","38.78395081","39.87333298","41.02802277","40.30805969","41.88941574","42.82014847","42.17499924","43.10668945","42.68026733","39.846035","39.68722153","49.46072006","49.59543228","","",
"Andorra","AND","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.41166687","65.20613861","66.3105011","64.0255661","62.02460098","64.18534088","59.83185959","59.84716034","65.16940308","67.84007263","73.99111176","73.58311462","69.50762177","70.13762665","71.06126404","71.91657257","72.10389709","71.93497467","70.74021149","71.32620239","72.58944702","71.33333588","73.61678314","70.80240631","","",
"Arab World","ARB","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4307208640107","56.549996091647","55.7534630209792","56.167239922535","55.8276509391985","56.6217005141529","57.0954907125708","56.651648665071","56.7828278696255","59.0784755894108","57.5255431333584","59.441566419691","58.5863663884442","59.0091679398184","60.1882398908181","57.743758020391","60.5360304058691","58.5900974710239","57.8422084979131","59.0749698456609","62.6508515802254","62.6477623113097","62.2145634461845","63.6772544334379","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.83045959","77.01039886","61.22885132","61.27508163","57.10731125","56.84106064","57.30421829","58.67370224","63.91038895","73.68283844","70.85415649","72.42097473","72.54479218","71.97173309","70.97638702","71.25105286","76.27639771","54.81138992","51.57845688","51.17391205","60.98609543","64.10680389","65.76844788","66.77935791","","",
"Argentina","ARG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7317009","54.13408661","52.896492","54.32575989","48.47241592","50.83937454","52.45514297","53.99981689","54.33721542","60.05429459","58.72151566","60.14045334","62.14928055","63.45186996","65.37956238","66.21888733","65.42720795","65.13188171","60.07154465","61.46165085","65.50105286","57.6622963","58.63531876","60.22618103","","",
"Armenia","ARM","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7532177","28.82457352","15.39143753","16.80312729","21.37230873","25.22076416","27.11775017","29.35340118","22.41243935","21.4559288","18.25899696","17.84222031","17.27692986","13.32556534","14.79110622","15.91488075","16.45257568","13.24470806","12.34010696","12.40508175","19.2535038","17.7613945","17.21879578","15.71054554","","",
"American Samoa","ASM","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.84612274","59.07860184","58.43793869","59.90863037","58.03319931","55.622612","52.95463562","51.33233261","50.76409912","54.89453506","58.31644821","56.94827652","56.29526138","56.08193588","59.15979004","59.78766251","55.84991074","56.1620903","60.07439423","58.43976212","62.99481583","63.64115524","64.32167816","58.97968292","","",
"Australia","AUS","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.8363266","71.10848236","71.93769073","71.34125519","71.68710327","71.83748627","71.66631317","72.90619659","72.32991791","73.01054382","72.35727692","73.26029968","71.23465729","67.7279892","70.11461639","71.26315308","71.40471649","71.52568054","71.27389526","73.50791168","73.36904907","75.48329163","74.28852844","73.6608429","","",
"Austria","AUT","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.13664246","72.58330536","72.53738403","72.37532806","71.91904449","72.5586319","72.73056793","72.75634003","73.60791779","72.81166077","72.21860504","72.44824219","72.70710754","72.01264191","72.28821564","72.01392365","71.76594543","72.98487854","73.75431061","74.22563934","76.31904602","77.65250397","77.11503601","76.50154114","","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3969841","29.02164268","27.05658913","28.37379646","32.29693604","39.94744492","41.91231918","45.62398911","42.24292374","40.98781967","38.29708481","36.60181046","35.34202194","33.05683899","31.5067234","30.06647682","26.35346794","24.65526772","23.16248131","25.56861496","39.81031418","31.61755943","27.90578651","32.62691879","","",
"Burundi","BDI","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.70241928","29.78705215","28.70185471","25.70115089","33.37493134","27.28089142","27.13312149","26.82294655","20.14006805","22.53801537","17.59703827","34.46959686","30.9056015","17.85822868","38.64748383","38.46380615","31.66303062","28.96341133","28.20852852","25.1411171","20.14390373","24.87701225","18.28550148","14.73785591","","",
"Belgium","BEL","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.53091431","75.3321228","73.72327423","73.8881073","74.75339508","74.54464722","74.52085876","74.11785126","75.68613434","74.39575958","74.6603775","75.24178314","75.51134491","75.19477844","75.65394592","75.96764374","76.30649567","76.02700043","75.75689697","74.45122528","76.12084961","75.2164917","73.89453125","73.65628815","","",
"Benin","BEN","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.32760239","36.33681488","30.27058029","33.76356888","35.69153214","32.50712585","32.3343811","32.50827026","28.00041389","29.93048668","24.92294121","21.72640228","24.28330421","26.65324402","21.37865829","21.65677261","19.71844673","19.22683144","19.40156746","15.19810677","16.75466347","11.44557095","17.00983429","14.66711426","","",
"Burkina Faso","BFA","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.90582657","24.53686523","25.31165123","22.1628437","32.49535751","25.27678108","27.67617416","24.79726028","27.4019413","31.59186554","24.69545746","28.9587841","23.12789345","28.98208809","32.53527451","28.37508011","40.09730911","43.91535568","42.98374557","41.79482269","41.26566315","38.52989578","35.45425034","31.44460487","","",
